mission_id,scenario,deviation_at_handover_m,matched_baseline_row,match_residual_m,along_track_lag_rows,along_track_lag_m,along_track_lag_s,baseline_duration_s,mission_delay_pct,recovered_within_5m
M0305,S2,4.110151425261912,2362,3.7798989303106074,-5,-1.629280963843712,-0.25,118.1,0.0,1
M0306,S2,1.4180775527555434,2323,0.1761234410753384,4,1.3283285967547729,0.2,116.15,0.1721911321566939,1
M0307,S2,7.753750292847157,2331,7.076359494464597,-7,-3.1622232339641414,-0.35,116.55,0.0,0
M0308,S2,7.031434971852491,1524,4.325928526304598,-11,-5.066321739286195,-0.55,76.2,0.0,0
M0309,S2,0.9280309647326326,1596,0.2351970778407115,-2,-0.7325800349867677,-0.1,79.80000000000001,0.0,1
M0310,S2,3.475715262175652,1731,0.214749656197098,-10,-3.304138034175708,-0.5,86.55000000000001,0.0,1
M0311,S2,15.209179483372289,2481,5.498245330588312,-40,-12.470589955840753,-2.0,124.05,0.0,0
M0312,S2,4.476150604483729,1461,4.304202546939548,-4,-1.4469149238980208,-0.2,73.05,0.0,1
M0313,S2,6.265298950307174,2835,6.044882095656089,-4,-1.8710140300108835,-0.2,141.75,0.0,0
M0314,S2,4.44310026658657,1895,0.4002661018734207,-12,-4.23516242832477,-0.6000000000000001,94.75,0.0,1
M0315,S2,2.777993402958649,563,0.3364332938817602,-9,-2.878391548077332,-0.45,28.15,0.0,1
M0316,S2,4.989972854378036,2099,2.920334847027673,-9,-4.3628778843605005,-0.45,104.95,0.0,1
M0317,S2,4.523654855217485,3186,0.5544041581979642,-13,-4.520595646077254,-0.65,159.3,0.0,1
M0318,S2,6.14512327127581,2263,6.043952433252477,-2,-1.0026403359836422,-0.1,113.15,0.0,0
M0319,S2,6.299466599390649,2079,0.2638242468676529,-13,-6.1078682631117545,-0.65,103.95,0.0,0
M0320,S2,3.1133221065284093,1020,1.1846270387752385,-7,-2.770310672103392,-0.35,51.0,0.0,1
M0321,S2,6.566901163680482,816,2.719509911811325,17,6.294364191596969,0.8500000000000001,40.8,2.083333333333333,0
M0322,S2,4.163071420318131,884,2.831280097679904,-9,-2.998961418391445,-0.45,44.2,0.0,1
M0323,S2,4.627692569144279,2370,4.095272945225292,-7,-2.1962958617016284,-0.35,118.5,0.0,1
M0324,S2,11.534115724464188,3583,10.554389083195034,10,3.15155230725668,0.5,179.15,0.2790957298353335,0
M0325,S2,10.089274350728315,1147,9.851017217060534,-5,-2.316823098595364,-0.25,57.35,0.0,0
M0326,S2,6.635788774296122,1503,5.551663460932081,-7,-3.422894380014668,-0.35,75.15,0.0,0
M0327,S2,3.96453169148445,1748,3.399945295351427,-6,-2.476028299487666,-0.3,87.4,0.0,1
M0328,S2,10.058517579920444,2259,0.1640344199066035,-27,-9.895528527140982,-1.35,112.95,0.0,0
M0329,S2,4.386331583370903,2870,0.7712776218737462,-9,-4.243190513500622,-0.45,143.5,0.0,1
M0330,S2,23.28919276570183,657,10.95184754679892,-40,-12.364304277254632,-2.0,32.85,0.0,0
M0331,S2,8.85050793566581,2142,0.856326356067828,-23,-8.847889025950394,-1.15,107.1,0.0,0
M0332,S2,12.965550225063463,923,1.361611550835523,-40,-11.709027542039678,-2.0,46.150000000000006,0.0,0
M0333,S2,3.3848932704046835,1389,2.7890909928886263,-4,-1.9614928891965064,-0.2,69.45,0.0,1
M0334,S2,8.63220480545816,870,1.1506948113494158,23,8.464622837362413,1.15,43.5,2.6436781609195403,0
M0335,S2,12.226841864434911,1105,0.829275181322226,-32,-12.413317488257292,-1.6,55.25,0.0,0
M0336,S2,7.174496267660179,794,6.756946958339933,6,2.475544123396787,0.3,39.7,0.7556675062972292,0
M0337,S2,3.399550608778484,1122,1.113653406765882,-10,-3.343901893844759,-0.5,56.1,0.0,1
M0338,S2,11.14878315502187,1947,1.5723939484666265,-25,-11.186253818443332,-1.25,97.35,0.0,0
M0339,S2,4.936522389738963,2763,4.667190725251226,5,1.890421689132154,0.25,138.15,0.180962721679334,1
